SKU,DESCRIPCION,CANTIDAD,FALTANTE,MODELOS,IMAGEN,UBICADO EN
BC.EN.SS000545.01,ESC BOARD MODULE,2,,"MAVIC 3, M3T",,
YC.DZ.AF000064.01,FAN (4508) ,2,,"MAVIC 3, M3T",,
YC.DZ.AF000064.02,FAN (4508) ,2,,"MAVIC 3, M3T",,
BC.EN.SS000533.01,FRONT LEFT AIRCRAFT ARM MODULE,4,,"MAVIC 3, M3T",,
YC.JG.ZS001126.04,PROPELLER (CCW),5,,"MAVIC 3, M3T",,
YC.JG.ZS001125.04,PROPELLER (CW),5,,"MAVIC 3, M3T",,
BC.MA.PP000066.12,3 IN 1 FLEXIBLE FLAT CABLE,1,,MAVIC MINI,,
CP.MA.SS000023.02,BACK LEFT ARM,3,,MAVIC MINI,,
SS000109.01,ESC,2,,MAVIC MINI,,
YC.WJ.CC000178.02,FRONT AIRCRAFT ARM ROTATION,6,,MAVIC MINI,,
CP.MA.SS000022.02,FRONT ARM MODULE (LEFT),1,,MAVIC MINI,,
CP.MA.SS000020.02,FRONT ARM MODULE (RIGHT),2,,MAVIC MINI,,
BC.MA.SS000115.01,GIMBAL AND CAMERA MODULE,1,,MAVIC MINI,,
CP.MA.SS000021.02,PEAR ARM MODULE (RIGHT),3,,MAVIC MINI,,
BC.MA.PP000491.01,3IN1 FLEXIBLE FIAT CABLE,5,,MAVIC MINI 2,,
BC.MA.SS000241.01,CCW PROPELLER (PAIR) (YELLOW),6,,MAVIC MINI 2,,
BC.MA.SS000242.01,CW PROPELLERB(PAIR) (YELLOW),6,,MAVIC MINI 2,,
BC.MA.SS000228.02,FRONT LEFT MODULE,2,,MAVIC MINI 2,,
BC.MA.SS000231.02,REAR RIGHT AIRCRAFT ARM MODULE,4,,MAVIC MINI 2,,
BC.MA.SS000223.01,AIRCRAFT LOWER COVER MODULE,4,,MINI 2,,
YC.JG.ZS000728.05,AIRCRAFT MIDDLE FRAME,1,,MINI 2,,
YC.JG.ZS000725.02,AIRCRAFT PEAR COVER,3,,MINI 2,,
YC.JG.ZS000724.03,AIRCRAFT UPPER ,1,,MINI 2,,
